graph_id,bucket,vertices,edges,prim_cost,kruskal_cost,cost_match,prim_time_ms,kruskal_time_ms,prim_ops,kruskal_ops,prim_vs_kr_speed
1,small,30,90,555.173,555.1730000000001,true,21.0727,4.5177,402,639,4.664475286096908
2,small,30,75,701.46,701.46,true,0.2516,0.1659,349,588,1.516576250753466
3,small,30,75,612.906,612.906,true,0.2134,0.1276,349,524,1.6724137931034484
4,small,30,60,901.031,901.031,true,0.3157,0.2496,272,436,1.2648237179487178
5,small,30,60,897.536,897.536,true,0.2773,0.1402,284,436,1.9778887303851642
6,medium,300,1350,4328.157,4328.156999999999,true,2.3417,1.8149,5500,15930,1.2902639263871287
7,medium,300,1500,3636.458,3636.4579999999996,true,1.9831,1.7205,5990,18045,1.152630049404243
8,medium,300,1350,4457.204,4457.203999999998,true,1.218,1.2282,5520,15810,0.991695163654128
9,medium,300,1500,3935.471,3935.4709999999995,true,1.2347,1.4259,5986,17764,0.8659092502980573
10,medium,300,1200,4456.334,4456.334000000001,true,1.0229,1.0302,4988,15320,0.9929139972820811
11,medium,300,1500,3860.29,3860.2899999999995,true,1.1106,0.7829,6018,17570,1.418571975986716
12,medium,300,1350,4632.445,4632.445000000002,true,1.0171,1.6542,5474,15843,0.6148591464151856
13,medium,300,1500,3746.011,3746.0109999999972,true,1.0931,0.7226,5988,17892,1.5127318018267366
14,medium,300,1500,4187.063,4187.062999999999,true,1.0334,0.8008,5964,18301,1.2904595404595407
15,medium,300,1500,3743.099,3743.098999999999,true,1.5006,1.1077,5972,17575,1.3546989257019049
16,large,1000,4500,13907.47,13907.469999999988,true,4.0712,3.05,18320,60967,1.3348196721311476
17,large,1000,5500,11712.144,11712.143999999991,true,4.6109,4.394,21828,77226,1.0493627674101047
18,large,1000,5500,11646.412,11646.411999999993,true,5.4554,4.139,21624,77097,1.3180478376419424
19,large,1000,5500,11874.382,11874.382000000001,true,3.2926,4.3012,21756,75951,0.7655073002882917
20,large,1000,6000,10702.276,10702.276000000005,true,4.357,4.2828,23480,84371,1.017325114411133
21,large,1000,5500,11776.031,11776.03100000002,true,3.2296,3.4907,21708,77856,0.9252012490331453
22,large,1000,4500,14404.158,14404.158,true,2.1652,3.5791,18352,64702,0.6049565533234612
23,large,1000,6000,10968.048,10968.047999999992,true,3.9754,4.8729,23378,86454,0.8158180960003284
24,large,1000,5000,12697.177,12697.176999999992,true,2.8083,3.4212,20096,65716,0.8208523325149071
25,large,1000,4500,13962.332,13962.332000000002,true,3.5915,3.0494,18326,63110,1.1777726765921166
26,extra-large,1300,5200,19695.955,19695.955,true,4.1839,3.1023,21558,75406,1.3486445540405507
27,extra-large,1600,6400,24938.52,24938.519999999993,true,6.4508,4.3963,26556,96651,1.4673247958510565
28,extra-large,2000,8000,32960.27,32960.27,true,8.5382,4.4031,33242,122129,1.9391337921010197
